OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
118,E09000023,Lewisham, ,537888,173343,-0.017340001,51.442299,{874CBF67-7BA9-4EC4-9119-AC1140611E1D},41214.8903254514,35146120.5136567
119,E09000024,Merton, ,526068,169508,-0.18867999,51.41058,{BC5BF876-D338-4270-859E-CD202CA283E3},32439.5336737713,37624038.2781569
120,E09000025,Newham, ,540713,183346,0.027261,51.53149,{44DA17FA-171D-436A-AA83-B827D709300C},35876.144941093,36195900.4259154
121,E09000026,Redbridge, ,543512,189477,0.070084997,51.58588,{EEA11752-EC7E-4555-B3F8-65BC23E09ABC},50492.9387840991,56397395.0135452
122,E09000027,Richmond upon Thames, ,519005,172650,-0.28913999,51.44035,{20CCC5B6-8778-4B65-98CE-37D7016B3B9F},68932.8489734004,57392803.7217089
123,E09000028,Southwark, ,533945,175869,-0.073080003,51.465939,{037D37C6-8AF6-444B-B328-995FCA1A6BD3},34596.3421579807,28877697.1057426
124,E09000029,Sutton, ,527357,163639,-0.17226,51.357552,{20739B8F-506F-442B-8900-25208512C6AC},39927.9157122329,43847690.3314867
125,E09000030,Tower Hamlets, ,536340,181452,-0.03647,51.515541,{3ECB343E-DABB-45B9-942F-60F7B9BA61B2},28755.006273148,19770868.2223352
126,E09000031,Waltham Forest, ,537328,190278,-0.0188,51.594608,{F059E4DB-6F73-44D0-94DC-108F891C15D3},33346.5752711046,38810231.0116404
127,E09000032,Wandsworth, ,525152,174138,-0.20021001,51.4524,{49BCA700-5172-4921-821A-26BBBE8F4019},38839.8585877928,34261867.3389499
128,E09000033,Westminster, ,528268,180871,-0.15295,51.512211,{F6805696-D0A5-42E1-8AEB-14A32C83E8A3},27534.1316680137,21482611.197782
129,E10000003,Cambridgeshire, ,520312,273864,-0.23506001,52.349659,{BCAE110B-CD58-45C4-A761-0A557369F9B7},507388.953431793,3052514925.75621
130,E10000006,Cumbria, ,341868,527180,-2.9021299,54.636379,{FA02D038-DB88-4590-A3EE-8388D97D9B9D},1026705.11709392,6823534649.83516
131,E10000007,Derbyshire, ,426752,353556,-1.6021,53.078579,{2B691475-0505-454C-9F1E-F40C5E29403B},469089.428127803,2550760412.93864
132,E10000008,Devon, ,283143,93085,-3.65698,50.725578,{68BAA643-191D-4133-B97E-EC0D64F0218E},1115285.32642735,6566736281.25625
133,E10000011,East Sussex, ,564123,117996,0.33455899,50.938049,{B9417668-52D0-442E-B429-D13A612D1A79},353073.166368483,1712766558.25108
134,E10000012,Essex, ,575270,215407,0.54105997,51.809818,{21C13349-1169-42D9-B99D-C8D359E3186A},1736668.27861225,3465997071.41738
135,E10000013,Gloucestershire, ,389595,213465,-2.1523499,51.81971,{C61A0309-3603-4A2B-8C75-C80C0FC8E0DD},535353.007418561,2652532055.96021
136,E10000014,Hampshire, ,452859,127536,-1.24735,51.044739,{D04A6DE2-68EB-4D02-B30B-EBE675ECE796},787493.635790857,3678348783.41125
137,E10000015,Hertfordshire, ,518883,213642,-0.27699,51.808788,{7D01068C-9724-44A4-BEBC-0F4D1AB8B210},302890.887989407,1643064814.89589
138,E10000016,Kent, ,590249,147268,0.72136998,51.192951,{EBA27F83-0033-4AF6-BFDA-F578156A97D9},781668.062502508,3545511143.99486
139,E10000017,Lancashire, ,369784,440758,-2.4609101,53.86216,{D218E358-719B-427D-93CC-8A284D55EEEB},1002709.13460477,2895188128.13103
140,E10000018,Leicestershire, ,442147,310191,-1.3779,52.68779,{E75B5B1C-42F9-4F98-AB1C-D095B9F4310F},378750.775011572,2083789164.42211
141,E10000019,Lincolnshire, ,517984,358539,-0.23884,53.111019,{4AF49B77-E990-4CC8-9C3D-38E8C8177642},1307185.83317911,5937337363.91745
142,E10000020,Norfolk, ,600549,312292,0.96471399,52.67123,{ACDDB540-0907-4B40-B286-B5D278B20948},1501232.12139023,5385165856.61106
143,E10000023,North Yorkshire, ,429509,466515,-1.55032,54.093712,{D84DABF5-A993-4053-B80F-67B4121700C1},872342.187340133,8039968731.14166
144,E10000024,Nottinghamshire, ,466570,359496,-1.00656,53.128502,{C156293E-85EC-430A-AAEB-F83B51B2E023},387060.690784745,2084710843.9494
145,E10000025,Oxfordshire, ,448985,208334,-1.29146,51.771549,{0856EEE1-0124-4F9A-A5CE-122A509D2F55},413240.805080243,2605947801.32946
146,E10000027,Somerset, ,309300,131077,-3.2959499,51.071819,{47F10355-F339-42C0-9DB1-EF0B18454052},543692.46394215,3451783932.17045
147,E10000028,Staffordshire, ,398243,334651,-2.02756,52.909302,{FE1FE197-2934-4C50-8004-70E054459204},502017.19911707,2623316410.33526
148,E10000029,Suffolk, ,608219,266120,1.04919,52.253849,{EE668828-D121-44FD-B01A-C4AABEC29B56},866909.503116998,3801362366.30825
149,E10000030,Surrey, ,515966,153408,-0.33910999,51.268028,{CF9F80E3-F531-4893-A3BA-AE7BB1C266F5},273588.118021314,1670072911.60444
150,E10000031,Warwickshire, ,429584,253588,-1.56874,52.179771,{7A7466A1-9521-4AB6-B8D2-3DBD7B3D3DFE},397520.257346002,1977520458.21365
151,E10000032,West Sussex, ,508316,118010,-0.45932999,50.95134,{4AC33722-0C4A-411E-A251-8929936F6829},547206.492412159,1991051356.08154
152,E10000034,Worcestershire, ,385792,257203,-2.2093501,52.212872,{FBEC438A-1252-42B4-8D52-721AB8F5E21C},372990.279702503,1740514192.03121
153,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1775999,54.693859,{4CD85D3C-2D9F-4797-8C4F-8E6D3E47ADDA},165144.796009216,728186553.535986
154,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.4345498,54.3867,{B7BB67D0-9E3B-44AF-905B-37C208D0698A},243056.187545035,1437068552.81537
155,N09000003,Belfast, ,146465,529747,-5.9253502,54.59853,{0AD9C8C6-28B1-499D-8E9B-92C876F83D6F},65908.1975172844,137716630.153006
156,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5995998,55.039619,{95DC2524-C4D9-4ABB-BF70-6AD8B4D47A4E},381749.493068117,1985534511.66811
157,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.80904,{E0A48B57-9A31-4D1F-B8B2-BC81DC178FCC},271488.90820484,1251241562.61086
158,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271001,54.385208,{CE240CB3-A7A0-41A6-8CE2-8E316FD8D128},426624.028390531,3012114877.30683
159,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.49752,{7FBFE20C-9477-4A1E-9A5B-276933702C0E},167382.91602123,510438068.179163
160,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.86462,{E8B27254-4C47-4BD4-A920-795E6C1C8E2E},234862.589304514,1061355466.9921
161,N09000009,Mid Ulster, ,83920,528564,-6.8888998,54.552731,{9939D47A-CA60-430D-A339-CD9A7855E196},318433.1847641,1957293802.17552
162,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.0889101,54.149529,{6FE8E8BF-6CBA-42AE-B2CE-1C5724435AAE},380092.259434885,1682340590.08843
163,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.564091,{DC00B2DC-F0CC-4160-BBEA-8C12D0A1FD8F},204687.660819204,566472955.047846
164,S12000005,Clackmannanshire, ,291178,696402,-3.75316,56.147839,{244B23BD-391A-4C3C-996D-AF79077BF01D},96934.5372320526,159185046.780161
165,S12000006,Dumfries and Galloway, ,270645,579856,-4.0286298,55.09621,{AD53FE1E-B620-4C4C-A4BF-447EFFB5E115},1207100.79655475,6436566764.09709
166,S12000008,East Ayrshire, ,255398,624935,-4.2905698,55.496738,{F80513E0-32A3-4773-A83D-37E917C8EAD2},340964.440963998,1270342032.2148
167,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,{6C9AF409-BC80-49B5-865C-31B66FB909EA},202128.87265825,679240892.618404
168,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,{0E09272F-AAC5-489C-92AF-C29AA44C5E2F},93882.4298837804,174249494.081675
169,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.6572199,58.199379,{C1B3CB4E-AAF6-410F-9446-897C2E3FD519},3871068.33882015,3096614749.11111
170,S12000014,Falkirk, ,285585,680168,-3.83619,56.000751,{E5030D37-D96F-4C22-8269-713720D042DB},169062.826125422,297127560.139272
